Dota 2, Counter-Strike Global Offensive, Team Fortress 2, Counter-Strike, Sid Meier's Civilization V, Counter-Strike Source, The Elder Scrolls V Skyrim, Garry's Mod, Call of Duty Modern Warfare 2 - Multiplayer, Left 4 Dead 2, Terraria, Football Manager 2013, Football Manager 2012, Warframe, Football Manager 2015, Football Manager 2014, Arma 3, Grand Theft Auto V, Borderlands 2, Empire Total War
31817706,Borderlands2,CallofDutyBlackOps,Borderlands,HeroesGenerals,TheBindingofIsaac,Fallout4,TombRaider,KerbalSpaceProgram,XCOMEnemyUnknown,WaroftheRoses,DontStarve,NaturalSelection2,StateofDecay,Sanctum,SidMeiersCivilizationV,EndlessSpace,ZombiePanicSource,Warhammer40000SpaceMarine,RomeTotalWar,SuperMeatBoy
31839832,Dota2,CounterStrikeGlobalOffensive,Ricochet,CallofDutyBlackOpsIIMultiplayer,H1Z1,Rust,InfestationSurvivorStories,DeathmatchClassic,DirtyBomb,AgeofEmpiresIIICompleteCollection,PathofExile,DontStarve,CallofDutyWorldatWar,GrandTheftAutoV,AmericasArmyProvingGrounds,CallofDutyBlackOpsMultiplayer,Portal2,PAYDAY2,AceofSpades,KillingFloor
31849177,Besiege,GrandTheftAutoIV,FootballManager2013,TheForest,7DaystoDie,FootballManager2014,PlanetaryAnnihilation,RomeTotalWar,BioShock,STARWARSKnightsoftheOldRepublicIITheSithLords,SpaceEngineers,StrongholdKingdoms,SuperMeatBoy,Tropico4,SidMeiersCivilizationIIIComplete,PrisonArchitect,CallofDutyAdvancedWarfareMultiplayer,WaroftheRoses,Dungeonland,InsurgencyModernInfantryCombat
31944667,TheWitcher2AssassinsofKingsEnhancedEdition,CallofDutyModernWarfare2,MedievalIITotalWar,Warhammer40000DawnofWarIIChaosRising,DarkSoulsPreparetoDieEdition,AgeofEmpiresIIHDEdition,CounterStrikeSource,Starbound,Warhammer40000SpaceMarine,Thief,TotalWarSHOGUN2,HalfLife2EpisodeOne,LANoire,WormsReloaded,DeusExHumanRevolutionDirectorsCut,Fallout3GameoftheYearEdition,Crysis2MaximumEdition,Firefall,TitanQuest,FootballManager2013
32102983,PlanetSide2,CallofDutyWorldatWar,DeadIslandEpidemic,APBReloaded,MedievalIITotalWar,Besiege,CallofDutyModernWarfare3Multiplayer,Thief,Spore,CallofDutyAdvancedWarfareMultiplayer,Trine2,Awesomenauts,StarWarsKnightsoftheOldRepublic,CallofDutyGhostsMultiplayer,BattlefieldBadCompany2,Enclave,Defiance,BatmanArkhamOrigins,BioShock,MedalofHonorTMMultiplayer
32125590,APBReloaded,TheBindingofIsaac,Elsword,MountBladeWarband,SuperMeatBoy,ZombiePanicSource,CompanyofHeroes,TheElderScrollsIVOblivion,Left4Dead,SpaceEngineers,MedievalIITotalWar,AgeofChivalry,Besiege,SourceFilmmaker,SidMeiersCivilizationIIIComplete,BattlefieldBadCompany2,WaroftheRoses,Borderlands,AssassinsCreedII,BlacklightRetribution
32126281,ArmaColdWarAssault,AlienSwarm,PathofExile,Insurgency,TheWalkingDead,Ricochet,OrcsMustDie2,TheForest,TheWitcher2AssassinsofKingsEnhancedEdition,Neverwinter,WarThunder,AssassinsCreedII,TheWalkingDeadSeasonTwo,Warhammer40000DawnofWarIIRetribution,Antichamber,InfestationSurvivorStories,BatmanArkhamCityGOTY,RiskofRain,MafiaII,DontStarveTogetherBeta
32467994,APBReloaded,OrcsMustDie,RedFactionGuerrillaSteamEdition,DarkSoulsPreparetoDieEdition,Crysis2MaximumEdition,Defiance,MountBladeWarband,FootballManager2012,SidMeiersCivilizationIIIComplete,SuperMeatBoy,StarWarsKnightsoftheOldRepublic,WormsReloaded,BlacklightRetribution,FEZ,Psychonauts,MiddleearthShadowofMordor,DeadIsland,Borderlands2,DARKSOULSII,Awesomenauts
32498610,Unturned,Rust,CounterStrikeSource,NoMoreRoominHell,KillingFloor,PlanetSide2,AmericasArmyProvingGrounds,GarrysMod,DirtyBomb,AlienSwarm,CallofDutyBlackOpsIIMultiplayer,CastleCrashers,HalfLife2Deathmatch,MagickaWizardWars,CallofDutyBlackOpsMultiplayer,AceofSpades,H1Z1,Dota2,Insurgency,Hammerwatch
32577778,H1Z1TestServer,Borderlands,WormsReloaded,TheWitcher2AssassinsofKingsEnhancedEdition,DarkSoulsPreparetoDieEdition,WormsRevolution,TheWitcherEnhancedEdition,CompanyofHeroesTalesofValor,ZombiePanicSource,GoatSimulator,SpaceEngineers,APBReloaded,Fallout4,DARKSOULSII,WaroftheRoses,DeusExHumanRevolutionDirectorsCut,SidMeiersCivilizationIIIComplete,Sanctum,StarWarsKnightsoftheOldRepublic,DayofDefeatSource
32644336,CounterStrikeSource,TheWitcher2AssassinsofKingsEnhancedEdition,FarCry3,BioShockInfinite,Metro2033,DungeonDefendersII,HalfLife2,DCUniverseOnline,Borderlands2,DeadIsland,JustCause2,DragonAgeOriginsUltimateEdition,MagicDuels,Left4Dead,FEARPerseusMandate,HalfLife2LostCoast,RocketLeague,SaintsRow2,HalfLife2EpisodeTwo,Tropico3SteamSpecialEdition
32710856,DirtyBomb,EmpireTotalWar,RIFT,NeedforSpeedHotPursuit,HAWKEN,CounterStrikeSource,SniperEliteV2,CallofDutyBlackOpsMultiplayer,Arma2OperationArrowhead,DeathmatchClassic,ChivalryMedievalWarfare,CounterStrike,Insurgency,FalloutNewVegas,CallofDutyModernWarfare2Multiplayer,TomClancysGhostReconPhantomsNA,TheElderScrollsIVOblivion,AmericasArmyProvingGrounds,SeriousSam3BFE,CallofDutyAdvancedWarfareMultiplayer
32749624,Dota2,Ricochet,DontStarve,PathofExile,H1Z1,CallofDutyBlackOpsIIMultiplayer,Loadout,InfestationSurvivorStories,DirtyBomb,CounterStrikeNexonZombies,EuroTruckSimulator2,AmericasArmyProvingGrounds,PAYDAY2,TombRaider,HAWKEN,DontStarveTogetherBeta,KillingFloorModDefenceAlliance2,AgeofEmpiresIIICompleteCollection,Rust,CounterStrikeConditionZeroDeletedScenes
32818456,Left4Dead,MedievalIITotalWar,Elsword,AgeofChivalry,ZombiePanicSource,TheBindingofIsaac,APBReloaded,FootballManager2012,StarWarsKnightsoftheOldRepublic,RocketLeague,MountBladeWarband,RisingStormRedOrchestra2Multiplayer,Firefall,JustCause2,WormsReloaded,SuperMeatBoy,SpaceEngineers,BattlefieldBadCompany2,Besiege,TomClancysGhostReconPhantomsNA
32847394,FalloutNewVegas,ZombiePanicSource,CommandandConquerRedAlert3Uprising,WaroftheRoses,StarTrekOnline,RomeTotalWar,CompanyofHeroes,DragonAgeOriginsUltimateEdition,STARWARSKnightsoftheOldRepublicIITheSithLords,Warhammer40000DawnofWarIIChaosRising,HeroesGenerals,SpaceEngineers,Borderlands,MedievalIITotalWarKingdoms,FootballManager2013,StarWarsKnightsoftheOldRepublic,CompanyofHeroesTalesofValor,DeusExHumanRevolutionDirectorsCut,Sanctum,Elsword
33013552,CallofDutyModernWarfare3Multiplayer,Arma2OperationArrowhead,Besiege,CallofDutyWorldatWar,DayZ,PlanetSide2,WarThunder,GrandTheftAutoV,CounterStrikeGlobalOffensive,SpaceEngineers,APBReloaded,Portal,DungeonDefenders,PAYDAY2,BlacklightRetribution,SpiralKnights,SuperMeatBoy,Crysis2MaximumEdition,Defiance,FootballManager2015
33029093,CounterStrikeSource,AgeofEmpiresIIHDEdition,Hitman2SilentAssassin,Thief,Nosgoth,CallofDutyBlackOpsMultiplayer,TheLordoftheRingsWarintheNorth,Dishonored,Starbound,MaxPayne3,MagicDuels,SurgeonSimulator,Firefall,QuakeLive,FreetoPlay,DCUniverseOnline,MedalofHonorTMSinglePlayer,Survarium,StarWarsEmpireatWarGold,JustCause2MultiplayerMod
33071192,APBReloaded,MedievalIITotalWar,SpaceEngineers,MountBladeWarband,HalfLife2EpisodeOne,Besiege,JustCause2,StarWarsKnightsoftheOldRepublic,WormsReloaded,Left4Dead,SidMeiersCivilizationIIIComplete,BatmanArkhamOrigins,TheElderScrollsIVOblivion,TheWitcher2AssassinsofKingsEnhancedEdition,MassEffect,Elsword,ZombiePanicSource,BioShock,OrcsMustDie,WaroftheRoses
33098857,TheBindingofIsaac,DeathmatchClassic,MountBladeWarband,Elsword,RisingStormRedOrchestra2Multiplayer,CounterStrikeGlobalOffensive,APBReloaded,RocketLeague,CallofDutyWorldatWar,Left4Dead,GarrysMod,FarCry3,RealmoftheMadGod,CompanyofHeroes,Insurgency,MountBladeWithFireandSword,Arma3,TheElderScrollsIVOblivion,MirrorsEdge,AgeofChivalry
33121288,GoatSimulator,TheStanleyParable,ScribblenautsUnlimited,BioShockInfinite,AssassinsCreedIII,JustCause2,Dishonored,GTREvolution,TombRaider,CallofDutyBlackOpsII,RedOrchestra2HeroesofStalingradSinglePlayer,Portal2,LIMBO,HalfLife,RAGE,FarCry3,Portal,WorldofGunsGunDisassembly,SimCity4Deluxe,Monaco
33214968,CounterStrikeSource,AmericasArmyProvingGrounds,SeriousSam3BFE,CastleCrashers,CallofDutyBlackOpsIIMultiplayer,SaintsRowIV,TeamFortressClassic,NoMoreRoominHell,DCUniverseOnline,PAYDAY2,SpiralKnights,Arma3,AgeofEmpiresIIHDEdition,CallofDutyBlackOpsMultiplayer,SniperEliteV2,GoatSimulator,DiRT3,AliensvsPredator,SuperMondayNightCombat,Magicka
33261284,Dota2,Left4Dead2,CallofDutyBlackOps,DontStarve,Nosgoth,PlanetSide2,TeamFortress2,SMITE,CallofDutyModernWarfare2,Loadout,TheWitcher2AssassinsofKingsEnhancedEdition,FarCry3,DCUniverseOnline,TombRaider,Portal,PathofExile,CompanyofHeroesTalesofValor,FTLFasterThanLight,Torchlight,RIFT
33279432,MedievalIITotalWar,Left4Dead,ZombiePanicSource,MountBladeWarband,Elsword,AgeofChivalry,SourceFilmmaker,StarWarsKnightsoftheOldRepublic,HalfLife2EpisodeOne,TheBindingofIsaac,JustCause2,MirrorsEdge,Borderlands,SuperMeatBoy,CompanyofHeroes,APBReloaded,GarrysMod,TheElderScrollsIVOblivion,RealmoftheMadGod,BlacklightRetribution
33282871,AlienSwarm,TotalWarROMEIIEmperorEdition,PrisonArchitect,NapoleonTotalWar,EmpireTotalWar,Robocraft,ArmaColdWarAssault,TotalWarSHOGUN2,DeathmatchClassic,SniperEliteV2,CitiesSkylines,Trove,RiseofIncarnates,RealmoftheMadGod,NoMoreRoominHell,OrcsMustDie2,HalfLife2Deathmatch,DungeonDefenders,MountBladeWarband,ChivalryMedievalWarfare
33300480,JustCause2,TheWitcher2AssassinsofKingsEnhancedEdition,SpaceEngineers,MedievalIITotalWar,HalfLife2,HalfLife2EpisodeTwo,MountBladeWarband,Left4Dead,WormsReloaded,StarWarsKnightsoftheOldRepublic,APBReloaded,Besiege,ZombiePanicSource,TheBindingofIsaac,AgeofChivalry,RisingStormRedOrchestra2Multiplayer,SidMeiersCivilizationIIIComplete,WaroftheRoses,FarCry3,MassEffect
33452361,Defiance,DungeonDefenders,Magicka,BlacklightRetribution,Arma2OperationArrowheadBetaObsolete,AlienSwarm,Warhammer40000DawnofWarIIRetribution,TotalWarROMEIIEmperorEdition,OrcsMustDie2,NapoleonTotalWar,RedFactionGuerrillaSteamEdition,TheWalkingDead,SakuraClicker,MountBladeWarband,PatchtestingforChivalry,TitanQuest,Warhammer40000DawnofWarIIChaosRising,Brawlhalla,MortalKombatKompleteEdition,GrandTheftAutoEpisodesfromLibertyCity
33457161,CounterStrikeGlobalOffensive,Dota2,Ricochet,CounterStrikeSource,H1Z1,CallofDutyBlackOpsIIMultiplayer,AgeofEmpiresIIICompleteCollection,InfestationSurvivorStories,Rust,GrandTheftAutoV,PathofExile,CallofDutyBlackOpsMultiplayer,AmericasArmyProvingGrounds,DirtyBomb,DontStarve,CallofDutyWorldatWar,PAYDAY2,WarThunder,Arma3,MarvelHeroes2015
33506449,Dota2,CounterStrikeGlobalOffensive,DeathmatchClassic,TheBindingofIsaac,CallofDutyWorldatWar,Ricochet,RisingStormRedOrchestra2Multiplayer,MountBladeWarband,Insurgency,Arma3,Left4Dead,RocketLeague,CounterStrikeSource,CallofDutyAdvancedWarfareMultiplayer,ArmaColdWarAssault,SpaceEngineers,AgeofEmpiresIIICompleteCollection,CallofDutyBlackOpsMultiplayer,Elsword,TomClancysGhostReconPhantomsNA
33518079,APBReloaded,ZombiePanicSource,SpiralKnights,PAYDAYTheHeist,ChivalryMedievalWarfare,JustCause2,FTLFasterThanLight,HeroesGenerals,BattlefieldBadCompany2,Warhammer40000DawnofWarII,ArcheAge,DeathmatchClassic,AmnesiaTheDarkDescent,TheBindingofIsaac,GunsofIcarusOnline,Torchlight,Crysis2MaximumEdition,CallofDutyModernWarfare3Multiplayer,WormsReloaded,SouthParkTheStickofTruth
33580866,PAYDAYTheHeist,Arma2OperationArrowhead,NapoleonTotalWar,Insurgency,NoMoreRoominHell,GrandTheftAutoEpisodesfromLibertyCity,SpeedRunners,ArcheAge,BattlefieldBadCompany2,TheBindingofIsaac,SniperEliteV2,SpiralKnights,TheElderScrollsIVOblivion,AliensvsPredator,RIFT,TeamFortressClassic,AgeofChivalry,AmnesiaTheDarkDescent,Arma3,SuperMondayNightCombat
33614428,CounterStrike,CounterStrikeSource,Arma3,RisingStormRedOrchestra2Multiplayer,Borderlands2,TheForest,Left4Dead,CallofDutyBlackOpsMultiplayer,AgeofEmpiresIIHDEdition,CallofDutyAdvancedWarfareMultiplayer,Firefall,ArmaColdWarAssault,DontStarveTogetherBeta,FalloutNewVegas,FootballManager2013,TotalWarSHOGUN2,AgeofEmpiresIIICompleteCollection,SeriousSam3BFE,FootballManager2012,HAWKEN
33622085,Arma2,Warface,MedalofHonorTMMultiplayer,Left4Dead,Warhammer40000DawnofWarIIRetribution,MortalKombatKompleteEdition,ZombiePanicSource,Metro2033,AgeofEmpiresIIHDEdition,Borderlands,Warhammer40000DawnofWarIIChaosRising,BattlefieldBadCompany2,SpaceEngineers,JustCause2,Defiance,SakuraClicker,TorchlightII,CounterStrikeConditionZero,Crysis2MaximumEdition,AdVentureCapitalist
33651880,DungeonDefenders,PathofExile,Dungeonland,Warframe,Starbound,PlanetSide2,Besiege,DarkSoulsPreparetoDieEdition,Warhammer40000DawnofWarIIRetribution,Terraria,PlanetaryAnnihilation,HalfLife2,ARKSurvivalEvolved,Warhammer40000DawnofWarIIChaosRising,InsurgencyModernInfantryCombat,FootballManager2014,StrongholdKingdoms,SidMeiersCivilizationV,MountBladeWarband,Defiance
33659046,Terraria,KillingFloor,TheBindingofIsaac,NoMoreRoominHell,CallofDutyBlackOpsMultiplayer,GoatSimulator,Hammerwatch,Insurgency,GunsofIcarusOnline,Left4Dead,SuperMeatBoy,RogueLegacy,H1Z1,7DaystoDie,CallofDutyAdvancedWarfareMultiplayer,StarboundUnstable,ZombiePanicSource,CallofDutyModernWarfare3Multiplayer,Spore,BattleBlockTheater
33706322,Left4Dead2,TeamFortressClassic,Warhammer40000DawnofWarIIChaosRising,DARKSOULSII,Warframe,Dungeonland,AdVentureCapitalist,Neverwinter,TorchlightII,ZombiePanicSource,OrcsMustDie2,DungeonDefendersII,TheWitcher2AssassinsofKingsEnhancedEdition,SidMeiersCivilizationIIIComplete,SidMeiersCivilizationV,Borderlands,Sanctum,Starbound,KerbalSpaceProgram,PathofExile
33865373,ChivalryMedievalWarfare,TheWitcher2AssassinsofKingsEnhancedEdition,TheWitcherEnhancedEdition,NaturalSelection2,LANoire,NeedforSpeedHotPursuit,AliensvsPredator,DeusExHumanRevolutionDirectorsCut,DarksidersII,Psychonauts,Fallout3GameoftheYearEdition,MassEffect,HotlineMiami,XCOMEnemyUnknown,OrcsMustDie,JustCause2,MassEffect2,RedOrchestra2HeroesofStalingradSinglePlayer,WormsReloaded,Metro2033
33904278,CounterStrikeGlobalOffensive,Ricochet,Dota2,CallofDutyBlackOpsIIMultiplayer,DontStarve,H1Z1,InfestationSurvivorStories,Rust,DirtyBomb,DeathmatchClassic,Portal2,GrandTheftAutoV,CallofDutyWorldatWar,EuroTruckSimulator2,PathofExile,Portal,AgeofEmpiresIIICompleteCollection,AmericasArmyProvingGrounds,PAYDAY2,MarvelHeroes2015
33910513,Thief,AssassinsCreedIII,Metro2033,RisingStormRedOrchestra2Multiplayer,TheElderScrollsIVOblivion,SurgeonSimulator,DarksidersII,AgeofChivalry,MassEffect,TheWitcher2AssassinsofKingsEnhancedEdition,FarCry3,AmnesiaTheDarkDescent,AliensvsPredator,MaxPayne3,CompanyofHeroesNewSteamVersion,Crysis2MaximumEdition,NeedforSpeedHotPursuit,MiddleearthShadowofMordor,SaintsRow2,Trine
33993318,HalfLife2EpisodeOne,Portal2,HalfLife2EpisodeTwo,Portal,TeamFortress2,CallofDutyBlackOps,Warframe,CounterStrikeSource,NaturalSelection2,TombRaider,XCOMEnemyUnknown,WarThunder,H1Z1TestServer,CompanyofHeroesNewSteamVersion,JustCause2,Fallout3GameoftheYearEdition,Trove,CallofDutyModernWarfare2,TheWitcher2AssassinsofKingsEnhancedEdition,SimCity4Deluxe
33995654,MedievalIITotalWarKingdoms,SeriousSamHDTheSecondEncounter,FalloutNewVegas,HAWKEN,PrisonArchitect,CallofDutyModernWarfare2Multiplayer,CallofDutyGhosts,CommandandConquerRedAlert3Uprising,STARWARSKnightsoftheOldRepublicIITheSithLords,Besiege,CallofDutyBlackOpsII,DontStarve,KerbalSpaceProgram,GrandTheftAutoIV,BioShock,Warhammer40000SpaceMarine,SidMeiersCivilizationV,Banished,OrcsMustDie,CitiesSkylines
34040508,Left4Dead,JustCause2,Insurgency,RocketLeague,RisingStormRedOrchestra2Multiplayer,TomClancysGhostReconPhantomsNA,GarrysMod,AgeofChivalry,CounterStrikeConditionZero,ZombiePanicSource,CounterStrikeGlobalOffensive,Arma2OperationArrowhead,MedievalIITotalWar,Elsword,RIFT,MirrorsEdge,CallofDutyBlackOpsMultiplayer,Arma3,BattlefieldBadCompany2,Firefall
34102593,Hitman2SilentAssassin,Fallout3GameoftheYearEdition,TERA,CounterStrikeSource,Starbound,AgeofEmpiresIIHDEdition,CallofDutyModernWarfare2,Firefall,Thief,HalfLife2EpisodeOne,Robocraft,DeusExHumanRevolutionDirectorsCut,FootballManager2013,Warhammer40000SpaceMarine,TheForest,Warhammer40000DawnofWarIIChaosRising,Dishonored,Nosgoth,ARKSurvivalEvolved,FootballManager2015
34177747,MarvelHeroes2015,TeamFortressClassic,PAYDAYTheHeist,MortalKombatKompleteEdition,ArcheAge,GunMonkeys,GoatSimulator,BioShockInfinite,Borderlands2,ZombiePanicSource,Left4Dead,DarkSoulsPreparetoDieEdition,NoMoreRoominHell,TribesAscend,FEAR3,KillingFloor,InsurgencyModernInfantryCombat,GarrysMod,AdVentureCapitalist,BlacklightRetribution
34281672,SpaceEngineers,RisingStormRedOrchestra2Multiplayer,DontStarve,OrcsMustDie2,DontStarveTogetherBeta,MountBladeWarband,TheWitcher2AssassinsofKingsEnhancedEdition,TotalWarROMEIIEmperorEdition,CounterStrikeGlobalOffensive,DeadIsland,ArmaColdWarAssault,FistfulofFrags,Defiance,InfestationSurvivorStories,Fallout4,DiRT3CompleteEdition,PatchtestingforChivalry,Rust,FootballManager2012,AlienSwarm
34383588,Left4Dead,TheBindingofIsaac,DeathmatchClassic,SpaceEngineers,CallofDutyAdvancedWarfareMultiplayer,APBReloaded,Dota2,Arma3,RisingStormRedOrchestra2Multiplayer,MountBladeWarband,Elsword,Insurgency,CallofDutyBlackOpsMultiplayer,CounterStrikeGlobalOffensive,ArmaColdWarAssault,CallofDutyWorldatWar,MountBladeWithFireandSword,Ricochet,DeadIslandRiptide,AgeofEmpiresIIICompleteCollection
34556248,Left4Dead,MedievalIITotalWar,AgeofChivalry,Elsword,ZombiePanicSource,JustCause2,APBReloaded,RocketLeague,Arma2OperationArrowhead,Trove,MirrorsEdge,TheBindingofIsaac,SourceFilmmaker,RogueLegacy,BattlefieldBadCompany2,SuperMeatBoy,BlacklightRetribution,SidMeiersCivilizationIIIComplete,Terraria,RealmoftheMadGod
34582304,PlanetSide2,TheWitcher2AssassinsofKingsEnhancedEdition,FalloutNewVegas,NaturalSelection2,GrandTheftAutoV,TheElderScrollsVSkyrim,DeusExHumanRevolutionDirectorsCut,WolfensteinTheNewOrder,FarCry3,HAWKEN,Fallout3GameoftheYearEdition,Outlast,Metro2033,MagicDuels,HalfLife2,TheWitcherEnhancedEdition,DeusExInvisibleWar,TorchlightII,HalfLife,CommandandConquerRedAlert3Uprising
34658438,Terraria,Unturned,Robocraft,Dota2,TomClancysGhostReconPhantomsEU,Monaco,DarkSoulsPreparetoDieEdition,Left4Dead2,KerbalSpaceProgram,TeamFortress2,FalloutNewVegas,Warframe,CallofDutyBlackOps,ClickerHeroes,Starbound,PAYDAYTheHeist,7DaystoDie,Fallout4,DCUniverseOnline,HeroesGenerals
34901647,Defiance,FTLFasterThanLight,Warhammer40000DawnofWarIIRetribution,Warhammer40000SpaceMarine,DarkSoulsPreparetoDieEdition,TeamFortressClassic,Loadout,Magicka,MortalKombatKompleteEdition,DontStarveTogetherBeta,SniperEliteV2,HitmanBloodMoney,TitanQuest,TotalWarROMEIIEmperorEdition,Dungeonland,Terraria,StarWarsRepublicCommando,Trove,Warframe,MountBladeWarband
34919318,TeamFortress2,PlanetSide2,Arma3,HalfLife2Deathmatch,GrandTheftAutoEpisodesfromLibertyCity,Metro2033,SuperMondayNightCombat,ArcheAge,Arma2OperationArrowhead,TheElderScrollsIVOblivion,ClickerHeroes,BattlefieldBadCompany2,NaturalSelection2,PAYDAYTheHeist,Audiosurf,TheBindingofIsaac,TeamFortressClassic,CounterStrikeSource,NeedforSpeedHotPursuit,Insurgency
35009482,AlienSwarm,BattlefieldBadCompany2,Rust,InsurgencyModernInfantryCombat,ArcheAge,CounterStrikeGlobalOffensive,ARKSurvivalEvolved,Hammerwatch,TomClancysGhostReconPhantomsEU,NapoleonTotalWar,RIFT,Insurgency,DayZ,Warframe,SuperMondayNightCombat,DeathmatchClassic,PlanetSide2,TomClancysGhostReconPhantomsNA,KnightsandMerchants,InfestationSurvivorStories
35039277,MountBladeWarband,SpaceEngineers,OrcsMustDie,EmpireTotalWar,StarTrekOnline,StrongholdKingdoms,APBReloaded,Besiege,RedFactionGuerrillaSteamEdition,StarWarsKnightsoftheOldRepublic,LANoire,PlanetaryAnnihilation,WormsReloaded,PatchtestingforChivalry,MassEffect,DarkSoulsPreparetoDieEdition,WaroftheRoses,Trine,H1Z1TestServer,Sanctum
35047392,MountBladeWarband,APBReloaded,StarWarsBattlefrontII,SpaceEngineers,TheBindingofIsaac,WormsReloaded,DungeonDefenders,StarWarsKnightsoftheOldRepublic,XCOMEnemyUnknown,DeusExGameoftheYearEdition,Defiance,RedFactionGuerrillaSteamEdition,TheElderScrollsIVOblivion,Warhammer40000DawnofWarIIChaosRising,Borderlands,WaroftheRoses,RiskofRain,DarkSoulsPreparetoDieEdition,TheWitcher2AssassinsofKingsEnhancedEdition,SuperMeatBoy
35140004,AgeofEmpiresIIHDEdition,Hitman2SilentAssassin,SaintsRowTheThird,Firefall,DCUniverseOnline,Robocraft,TERA,TheForest,Fallout3GameoftheYearEdition,Arma3,CrusaderKingsII,TheLordoftheRingsWarintheNorth,Dishonored,CallofDutyBlackOpsMultiplayer,Warhammer40000SpaceMarine,Thief,CallofDutyModernWarfare2,Nosgoth,Arma2,CryofFear
35153301,WarThunder,HalfLifeDeathmatchSource,Portal,HeroesGenerals,GrandTheftAutoV,GoatSimulator,TomClancysGhostReconPhantomsEU,EmpireTotalWar,Ricochet,CallofDutyWorldatWar,H1Z1,TombRaider,CallofDutyModernWarfare2Multiplayer,HowtoSurvive,Audiosurf,Besiege,CounterStrikeConditionZeroDeletedScenes,CallofDutyModernWarfare3,Neverwinter,DinoDDay
35177894,XCOMEnemyUnknown,PrisonArchitect,TotalWarSHOGUN2,Warhammer40000DawnofWarIIChaosRising,SaintsRow2,HitmanAbsolution,TitanQuest,CompanyofHeroesTalesofValor,CounterStrikeConditionZero,PlanetaryAnnihilation,Monaco,Tropico3SteamSpecialEdition,MountBladeWarband,DivinityOriginalSin,Metro2033,Thief,TheElderScrollsVSkyrim,MedievalIITotalWarKingdoms,DCUniverseOnline,MiddleearthShadowofMordor
35330593,Besiege,Sanctum,WaroftheRoses,KerbalSpaceProgram,Warhammer40000DawnofWarIIChaosRising,StrongholdKingdoms,PlanetaryAnnihilation,XCOMEnemyUnknown,SpaceEngineers,MountBladeWarband,DarkSoulsPreparetoDieEdition,SuperMeatBoy,7DaystoDie,SidMeiersCivilizationIIIComplete,HeroesGenerals,RomeTotalWar,Banished,EndlessSpace,PrisonArchitect,APBReloaded
35355224,Portal2,TeamFortress2,GoatSimulator,Terraria,CallofDutyBlackOps,CallofDutyModernWarfare3,Ricochet,JustCause2,SimCity4Deluxe,HalfLifeDeathmatchSource,ChivalryMedievalWarfare,TombRaider,HeroesGenerals,SidMeiersCivilizationV,Torchlight,StarWarsBattlefrontII,WarThunder,Spore,ScribblenautsUnlimited,TheStanleyParable
35388317,TeamFortress2,Portal2,XCOMEnemyUnknown,Warframe,GarrysMod,CounterStrikeSource,Portal,WarThunder,Fallout3GameoftheYearEdition,KillingFloor,SidMeiersCivilizationV,Hammerwatch,HalfLifeDeathmatchSource,HeroesGenerals,SeriousSam3BFE,FalloutNewVegas,CounterStrikeGlobalOffensive,TomClancysGhostReconPhantomsEU,InsurgencyModernInfantryCombat,RocketLeague
35640500,CounterStrikeGlobalOffensive,CounterStrikeConditionZero,CallofDutyBlackOpsMultiplayer,Unturned,Arma3,TheForest,Rust,KillingFloor,CastleCrashers,Robocraft,AmericasArmyProvingGrounds,CounterStrike,Left4Dead,CallofDutyModernWarfare2,Fallout3GameoftheYearEdition,Insurgency,HalfLife2,Arma2OperationArrowhead,Hammerwatch,TotalWarSHOGUN2
35701646,DirtyBomb,RIFT,PlanetSide2,TeamFortressClassic,SniperEliteV2,Arma2OperationArrowhead,SeriousSamHDTheSecondEncounter,EmpireTotalWar,KerbalSpaceProgram,SuperMondayNightCombat,ArcheAge,PAYDAY2,HalfLife2Deathmatch,HotlineMiami,SpiralKnights,CallofDutyBlackOpsIIMultiplayer,EuroTruckSimulator2,Unturned,AmericasArmyProvingGrounds,BattlefieldBadCompany2
35729292,Arma3,AmericasArmyProvingGrounds,Left4Dead,CallofDutyBlackOpsMultiplayer,CounterStrikeSource,RisingStormRedOrchestra2Multiplayer,PAYDAYTheHeist,DCUniverseOnline,CallofDutyBlackOpsIIMultiplayer,Sanctum2,SeriousSam3BFE,SpiralKnights,DiRT3,Arma2OperationArrowhead,AgeofEmpiresIIICompleteCollection,H1Z1,SaintsRowIV,ArmaColdWarAssault,Rust,DayZ
35864169,CounterStrike,Rust,HalfLife2Deathmatch,AgeofEmpiresIIICompleteCollection,TheForest,DayZ,GarrysMod,InsurgencyModernInfantryCombat,H1Z1,Arma2OperationArrowhead,Hammerwatch,AceofSpades,SidMeiersCivilizationV,FEARExtractionPoint,TheExpendabros,InfestationSurvivorStories,TERA,CounterStrikeGlobalOffensive,BrickForce,CounterStrikeSource
35937951,Dota2,Left4Dead,BattlefieldBadCompany2,GarrysMod,HeroesGenerals,7DaystoDie,KillingFloor,HalfLifeDeathmatchSource,CounterStrikeSource,ZombiePanicSource,Fallout4,GoatSimulator,GrandTheftAutoIV,DayZ,CompanyofHeroes2,SuperMondayNightCombat,PathofExile,DinoDDay,ArcheAge,Fallout3GameoftheYearEdition
